icd_code,disease_name,chapter,synonyms,short_desc
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",Infectious diseases,,
A011,Paratyphoid fever A,Infectious diseases,,
A020,Salmonella enteritis,Infectious diseases,,
A030,Shigellosis due to Shigella dysenteriae,Infectious diseases,,
A040,Enteropathogenic Escherichia coli infection,Infectious diseases,,
A050,Foodborne staphylococcal intoxication,Infectious diseases,,
A060,Acute amebic dysentery,Infectious diseases,,
A070,Balantidiasis,Infectious diseases,,
A080,Rotaviral enteritis,Infectious diseases,,
A150,Tuberculosis of lung,Infectious diseases,,
A170,Tuberculous meningitis,Infectious diseases,,
A182,Tuberculous peripheral lymphadenopathy,Infectious diseases,,
A190,Acute miliary tuberculosis of a single specified site,Infectious diseases,,
A200,Bubonic plague,Infectious diseases,,
A210,Ulceroglandular tularemia,Infectious diseases,,
A220,Cutaneous anthrax,Infectious diseases,,
A230,Brucellosis due to Brucella melitensis,Infectious diseases,,
A240,Glanders,Infectious diseases,,
A250,Spirillosis,Infectious diseases,bacterial infection|Bacterial infection disorder|Bacterial infection disease,Bacterial infection within Certain infectious and parasitic diseases. Category-level grouping.
A260,Cutaneous erysipeloid,Infectious diseases,mycosis|Mycosis disorder|Mycosis disease,Mycosis within Certain infectious and parasitic diseases. Category-level grouping.
A270,Leptospirosis icterohemorrhagica,Infectious diseases,,
A280,Pasteurellosis,Infectious diseases,,
A300,Indeterminate leprosy,Infectious diseases,,
A310,Pulmonary mycobacterial infection,Infectious diseases,,
A320,Cutaneous listeriosis,Infectious diseases,,
A360,Pharyngeal diphtheria,Infectious diseases,,
A380,Scarlet fever with otitis media,Infectious diseases,,
A390,Meningococcal meningitis,Infectious diseases,,
A400,"Sepsis due to streptococcus, group A",Infectious diseases,,
A411,Sepsis due to other specified staphylococcus,Infectious diseases,,
A420,Pulmonary actinomycosis,Infectious diseases,,
A430,Pulmonary nocardiosis,Infectious diseases,,
A440,Systemic bartonellosis,Infectious diseases,,
A480,Gas gangrene,Infectious diseases,,
A491,"Streptococcal infection, unspecified site",Infectious diseases,,
A501,"Early congenital syphilis, latent",Infectious diseases,,
A510,Primary genital syphilis,Infectious diseases,,
A522,Asymptomatic neurosyphilis,Infectious diseases,,
A530,"Latent syphilis, unspecified as early or late",Infectious diseases,,
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,Infectious diseases,,
A562,"Chlamydial infection of genitourinary tract, unspecified",Infectious diseases,,
A598,Trichomoniasis of other sites,Infectious diseases,,
A601,Herpesviral infection of perianal skin and rectum,Infectious diseases,,
A630,Anogenital (venereal) warts,Infectious diseases,,
A660,Initial lesions of yaws,Infectious diseases,,
B000,Eczema herpeticum,Viral/parasitic diseases,,
B010,Varicella meningitis,Viral/parasitic diseases,,
B020,Zoster encephalitis,Viral/parasitic diseases,,
B050,Measles complicated by encephalitis,Viral/parasitic diseases,,
B069,Rubella without complication,Viral/parasitic diseases,,
B070,Plantar wart,Viral/parasitic diseases,,
B081,Molluscum contagiosum,Viral/parasitic diseases,,
B150,Hepatitis A with hepatic coma,Viral/parasitic diseases,,
B160,Acute hepatitis B with delta-agent with hepatic coma,Viral/parasitic diseases,,
B170,Acute delta-(super) infection of hepatitis B carrier,Viral/parasitic diseases,,
B180,Chronic viral hepatitis B with delta-agent,Viral/parasitic diseases,,
B190,Unspecified viral hepatitis with hepatic coma,Viral/parasitic diseases,,
B250,Cytomegaloviral pneumonitis,Viral/parasitic diseases,,
B260,Mumps orchitis,Viral/parasitic diseases,,
B300,Keratoconjunctivitis due to adenovirus,Viral/parasitic diseases,,
B330,Epidemic myalgia,Viral/parasitic diseases,,
B340,"Adenovirus infection, unspecified",Viral/parasitic diseases,,
B350,Tinea barbae and tinea capitis,Viral/parasitic diseases,,
B360,Pityriasis versicolor,Viral/parasitic diseases,,
B370,Candidal stomatitis,Viral/parasitic diseases,,
B380,Acute pulmonary coccidioidomycosis,Viral/parasitic diseases,,
B390,Acute pulmonary histoplasmosis capsulati,Viral/parasitic diseases,,
B400,Acute pulmonary blastomycosis,Viral/parasitic diseases,,
B410,Pulmonary paracoccidioidomycosis,Viral/parasitic diseases,,
B420,Pulmonary sporotrichosis,Viral/parasitic diseases,,
B430,Cutaneous chromomycosis,Viral/parasitic diseases,,
B440,Invasive pulmonary aspergillosis,Viral/parasitic diseases,,
B450,Pulmonary cryptococcosis,Viral/parasitic diseases,,
